Topic 115 (0.01): eyes, looked, smile, time, moment, smiled, voice, hand, head, mind
Topic 279 (0.00): parliament, king, government, war, church, revolution, country, parliamentary, crown, house
Topic 1431 (0.00): nuclear, weapons, soviet, arms, treaty, defence, missiles, military, disarmament, union
Topic 75 (0.00): unemployment, employment, unemployed, jobs, people, training, job, government, labour, workers
Topic 353 (0.00): sex, sexual, women, woman, love, male, female, sexuality, partner, intercourse
Topic 1207 (0.00): police, officers, policing, chief, force, crime, policemen, constable, public, officer
Topic 205 (0.00): car, accident, hospital, killed, road, crash, died, driver, injuries, injured
Topic 786 (0.00): questions, question, answer, answers, answered, information, answering, reply, simple, time
Topic 1340 (0.00): module, lifespan, package, modules, user, version, manager, approval, file, access
Topic 878 (0.00): roof, tiles, wall, timber, walls, floor, wood, insulation, damp, ceiling
Topic 336 (0.00): training, courses, staff, skills, trainees, programme, programmes, development, time, trained
Topic 421 (0.00): shares, company, share, shareholders, capital, issue, stock, ordinary, rights, issued
Topic 1092 (0.00): system, systems, based, control, operation, individual, approach, simple, means, method
Topic 274 (0.00): garden, gardens, plants, gardening, gardener, house, trees, gardeners, planting, lawn
Topic 525 (0.00): meeting, committee, meetings, chairman, agreed, held, report, attend, minutes, discussion
Topic 1489 (0.00): local, authority, authorities, government, central, grant, services, grants, public, national
Topic 866 (0.00): contract, liability, clause, breach, terms, clauses, act, party, exclusion, contracts
Topic 737 (0.00): age, disease, mortality, incidence, study, population, rates, prevalence, table, aged
Topic 792 (0.00): spirit, god, holy, gospel, testament, church, lord, mark, faith, people
Topic 1362 (0.00): water, rivers, sewage, supply, river, pollution, nitrate, authority, drinking, supplies
Topic 643 (0.00): debt, loan, loans, finance, money, debts, bank, capital, pay, borrowing
Topic 139 (0.00): sense, mood, feeling, world, gloom, time, future, confidence, fear, hope
Topic 273 (0.00): rain, weather, wet, day, cold, water, dry, wind, conditions, heavy
Topic 1301 (0.00): fossil, species, fossils, dinosaurs, animals, living, mammals, found, rocks, million
Topic 265 (0.00): forest, soil, land, conservation, erosion, forests, environmental, tropical, timber, rainforest
Topic 182 (0.00): school, boys, headmaster, boy, class, time, parents, girls, teacher, home
Topic 252 (0.00): term, terms, word, sense, meaning, describe, refer, definition, concept, reference
Topic 281 (0.00): court, legal, action, compensation, claim, damages, judge, pay, decision, ruling
Topic 264 (0.00): banks, companies, financial, billion, firms, debt, market, bank, capital, investors
Topic 287 (0.00): hospital, hospitals, mental, patients, health, care, services, community, mentally, psychiatric
Topic 1112 (0.00): service, services, provide, offer, customers, range, customer, provided, staff, providing
Topic 1009 (0.00): northern, unionist, paisley, government, province, catholic, loyalist, political, unionists, republic
Topic 1455 (0.00): metres, world, championships, won, team, time, gold, race, champion, medal
Topic 1300 (0.00): blood, body, heart, system, pressure, disease, tissue, cells, fluid, tissues
Topic 65 (0.00): workers, labour, wages, women, employment, trade, wage, employers, skilled, worker
Topic 406 (0.00): danger, fear, warning, risk, dangerous, dangers, avoid, run, people, reason
Topic 455 (0.00): research, university, scientists, researchers, professor, cancer, found, scientist, institute, medical
Topic 331 (0.00): poem, poetry, poet, poems, verse, lines, writing, poetic, friend, poets
Topic 111 (0.00): market, exchange, stock, trading, dealing, securities, financial, insider, markets, futures
Topic 767 (0.00): product, marketing, market, products, consumer, markets, customer, sales, purchase, customers
Topic 1118 (0.00): output, switch, input, power, voltage, control, signal, circuit, level, current
Topic 125 (0.00): investment, funds, fund, trust, trusts, companies, investors, capital, unit, investments
Topic 116 (0.00): school, schools, staff, governors, teachers, head, management, education, curriculum, parents
Topic 487 (0.00): tree, trees, forest, branches, wood, leaves, oak, woodland, pine, branch
Topic 640 (0.00): book, books, publishers, publishing, titles, booksellers, sales, publisher, trade, author
Topic 1004 (0.00): tax, poll, local, charge, council, government, community, pay, rates, people
Topic 1421 (0.00): writing, essay, written, sentence, write, text, reader, paragraph, words, sentences
Topic 323 (0.00): survey, sample, questionnaire, respondents, sampling, research, questions, population, surveys, interview
Topic 251 (0.00): association, membership, society, national, council, associations, organisation, societies, organisations, federation
Topic 1260 (0.00): bad, news, worst, worse, time, luck, badly, disaster, wrong, lost
Topic 1442 (0.00): evidence, police, court, proceedings, criminal, prosecution, person, section, act, documents
Topic 391 (0.00): fish, water, sea, species, animals, marine, creatures, coral, corals, reef
Topic 1474 (0.00): social, services, welfare, voluntary, provision, local, health, service, provide, education
Topic 69 (0.00): safety, health, accidents, accident, safe, regulations, risk, people, environment, hazards
Topic 626 (0.00): chip, sun, chips, performance, systems, memory, system, parallel, machines, model
Topic 499 (0.00): campaign, people, support, public, local, action, petition, campaigns, government, protest
Topic 1093 (0.00): fashion, clothes, designer, designers, design, style, wear, collection, dress, clothing
Topic 1100 (0.00): video, tape, recording, sound, record, recorder, tapes, cassette, recorded, audio
Topic 922 (0.00): sugar, cream, mixture, flour, add, butter, water, bowl, egg, lemon
Topic 453 (0.00): learn, lesson, teacher, school, taught, lessons, teaching, teach, learning, time
Topic 872 (0.00): noun, lexical, adjective, semantic, sentence, verb, adjectives, property, meaning, phrase
Topic 564 (0.00): health, hospital, service, patients, waiting, authority, care, hospitals, ambulance, trust
Topic 1244 (0.00): waste, environmental, disposal, recycling, environment, toxic, rubbish, wastes, dumping, sites
Topic 1137 (0.00): funeral, death, died, grave, dead, buried, church, cemetery, coffin, burial
Topic 17 (0.00): brain, cells, visual, system, nerve, cortex, nervous, neurons, cell, electrical
Topic 597 (0.00): government, public, private, industry, sector, privatisation, industries, companies, enterprises, ownership
Topic 307 (0.00): network, telephone, cable, communications, system, telecommunications, radio, networks, technology, equipment
Topic 1397 (0.00): government, people, charter, public, services, ensure, encourage, continue, improve, standards
Topic 851 (0.00): lord, duke, office, royal, political, john, patronage, sir, service, crown
Topic 1321 (0.00): treaty, international, convention, article, parties, law, party, treaties, rights, agreement
Topic 887 (0.00): love, life, loved, relationship, heart, marry, marriage, loving, time, world
Topic 1347 (0.00): account, bank, money, cheque, cash, pay, cheques, payment, paid, accounts
Topic 440 (0.00): land, property, ownership, rights, owner, estate, estates, possession, owners, owned
Topic 1086 (0.00): animals, wild, animal, tiger, hunting, prey, lion, food, lions, tigers
Topic 661 (0.00): sale, sold, auction, million, lot, collection, lots, bought, sales, estimate
Topic 899 (0.00): dance, ballet, dancers, dancing, music, dances, dancer, tiller, ballets, danced
Topic 1403 (0.00): jobs, company, factory, plant, workers, job, closure, staff, losses, workforce
Topic 983 (0.00): heat, water, hot, temperature, heating, gas, air, cold, warm, central
Topic 398 (0.00): nursing, nurses, patient, nurse, care, ward, patients, staff, health, clinical
Topic 491 (0.00): cold, worse, symptoms, pain, pains, cough, headache, fever, skin, dry
Topic 536 (0.00): travel, journey, world, country, travelling, travelled, trip, traveller, people, cook
Topic 20 (0.00): tenant, landlord, lease, rent, premises, covenant, clause, term, covenants, property
Topic 1211 (0.00): male, males, female, females, species, sex, sexual, breeding, mating, size
Topic 417 (0.00): fees, charges, fee, charge, pay, costs, cost, paid, payment, charged
Topic 618 (0.00): equipment, maintenance, building, system, facilities, systems, storage, fire, installation, installed
Topic 304 (0.00): city, cities, centre, capital, streets, town, urban, mayor, street, people
Topic 140 (0.00): rail, railway, railways, trains, transport, line, services, service, network, freight
Topic 1370 (0.00): art, arts, artists, artist, artistic, design, painting, aesthetic, visual, music
Topic 1194 (0.00): sentence, court, offenders, courts, criminal, prison, justice, offences, offence, magistrates
Topic 77 (0.00): manager, company, director, service, left, sales, joined, team, department, staff
Topic 228 (0.00): advertising, agency, campaign, agencies, media, advertisements, ad, marketing, people, product
Topic 300 (0.00): temple, goddess, sacred, god, temples, gods, cult, ancient, ritual, religious
Topic 1488 (0.00): publishing, page, printer, desktop, text, graphics, printing, printers, software, postscript
Topic 816 (0.00): world, reality, real, life, imagination, sense, experience, image, dream, fantasy
Topic 1193 (0.00): concrete, soil, bricks, sand, ground, wall, building, level, surface, cement
Topic 369 (0.00): book, books, read, reading, library, pages, page, people, written, shelves
Topic 457 (0.00): employment, manufacturing, industry, industries, sector, industrial, labour, economy, jobs, service
Topic 1433 (0.00): project, projects, development, library, skills, schools, team, involved, resources, study
Topic 1435 (0.00): rights, human, freedom, law, civil, citizenship, citizens, individual, public, convention
Topic 985 (0.00): black, ethnic, racism, race, racial, white, racist, minority, cultural, minorities
Topic 1056 (0.00): competition, send, prize, free, win, offer, address, worth, entry, winner
Topic 1450 (0.00): disk, machine, drive, memory, hard, ram, computer, card, windows, processor
Topic 1135 (0.00): information, sources, knowledge, data, relevant, provide, access, source, process, environmental
Topic 537 (0.00): offence, person, act, section, law, offences, conduct, harm, defendant, manslaughter
Topic 1187 (0.00): church, churches, people, christian, worship, god, mission, missionary, community, congregation
Topic 27 (0.00): role, play, roles, played, process, major, plays, crucial, involved, individual
Topic 280 (0.00): crime, criminal, crimes, police, corporate, offences, law, committed, statistics, criminals
Topic 1098 (0.00): agreement, negotiations, agreed, agreements, deal, terms, parties, negotiating, reached, negotiation
Topic 372 (0.00): ants, insects, ant, insect, eggs, leaves, larvae, fly, spiders, spider
Topic 1461 (0.00): organization, organizations, organizational, management, structure, control, system, internal, process, systems
Topic 1234 (0.00): design, architecture, architect, architects, building, buildings, style, architectural, office, designs
Topic 216 (0.00): health, care, medical, services, people, education, disease, national, illness, medicine
Topic 364 (0.00): winter, summer, spring, autumn, weather, cold, season, months, days, late
Topic 636 (0.00): child, parents, children, behaviour, mother, parent, attention, family, home, play
Topic 1277 (0.00): cancer, patients, tumour, tumours, cell, cancers, malignant, carcinoma, found, study
Topic 444 (0.00): quality, management, improvement, customer, service, team, customers, process, business, performance
Topic 1096 (0.00): bar, pub, drink, beer, pubs, night, pint, landlord, local, drinking
Topic 964 (0.00): pipe, water, pipes, valve, fitted, system, tap, cistern, pump, fittings
Topic 299 (0.00): power, control, authority, exercise, powers, influence, powerful, position, exercised, political
Topic 1011 (0.00): class, social, classes, middle, upper, society, status, mobility, manual, lower
Topic 137 (0.00): urban, development, city, local, cities, programme, government, economic, projects, investment
Topic 615 (0.00): sport, sports, football, sporting, cricket, games, club, playing, game, rugby
Topic 57 (0.00): hotel, facilities, centre, accommodation, telephone, hotels, situated, private, close, bar
Topic 1471 (0.00): islands, sea, pacific, south, ocean, north, land, island, ice, southern
Topic 443 (0.00): public, private, sector, government, sectors, services, service, provision, market, accountability
Topic 633 (0.00): water, plastic, bottles, bottle, container, glass, containers, bag, pot, box
Topic 650 (0.00): soviet, union, eastern, western, economic, foreign, west, countries, relations, republics
Topic 590 (0.00): accounting, accounts, financial, cash, balance, statement, statements, capital, information, sheet
Topic 676 (0.00): rules, conduct, practice, regulations, code, practices, standards, laws, behaviour, procedures
Topic 152 (0.00): children, toys, play, child, toy, nursery, fun, games, dolls, doll
Topic 504 (0.00): ball, penalty, game, half, scored, penalties, rugby, match, minutes, score
Topic 886 (0.00): particles, quantum, theory, particle, electron, energy, physics, electrons, mechanics, light
Topic 749 (0.00): land, property, title, transfer, husband, registered, wife, registration, charge, mortgage
Topic 1447 (0.00): relationship, relationships, close, social, friendship, support, mutual, friends, sense, ties
Topic 291 (0.00): food, aid, relief, people, supplies, refugees, famine, war, children, emergency
Topic 1250 (0.00): categories, category, types, classification, terms, type, distinction, broad, form, classified
Topic 465 (0.00): mountain, climbing, summit, climb, climbers, top, ridge, rock, mountains, snow
Topic 1480 (0.00): drug, drugs, heroin, users, cocaine, cannabis, user, ecstasy, time, crack
Topic 706 (0.00): pension, scheme, pensions, schemes, contributions, retirement, occupational, benefits, pensioners, employees
Topic 1127 (0.00): prison, prisoners, prisons, prisoner, inmates, cell, officers, staff, jail, governor
Topic 512 (0.00): road, roads, traffic, bridge, route, transport, bypass, motorway, junction, highway
Topic 285 (0.00): polymer, chain, temperature, polymers, stress, strain, volume, energy, chains, elastic
Topic 88 (0.00): royal, president, sir, queen, lord, chairman, association, princess, attended, john
Topic 1008 (0.00): patients, gastric, ulcer, duodenal, acid, gastritis, secretion, subjects, healing, study
Topic 1297 (0.00): analysis, technique, techniques, measurement, sample, system, laboratory, methods, measurements, range
Topic 692 (0.00): photographs, photograph, pictures, photography, photographer, camera, photographic, picture, photographers, images
Topic 1242 (0.00): technology, workers, production, machine, machines, job, management, worker, jobs, technological
Topic 1028 (0.00): miles, house, local, walks, garden, activities, easily, park, golf, country
Topic 1156 (0.00): language, students, video, book, practice, material, activities, classroom, teaching, exercises
Topic 360 (0.00): industrial, industry, steel, industries, factories, factory, people, iron, coal, towns
Topic 267 (0.00): cells, cell, development, embryo, chromosomes, egg, form, embryos, limb, genes
Topic 546 (0.00): road, left, path, follow, track, walk, route, miles, cross, gate
Topic 917 (0.00): family, families, children, life, home, parents, relatives, relationships, nuclear, unit
Topic 1269 (0.00): test, tests, testing, results, scores, score, tested, assessment, performance, sample
Topic 160 (0.00): plate, continental, crust, oceanic, ocean, mantle, earth, rocks, plates, continents
Topic 420 (0.00): definition, defined, concept, definitions, terms, define, sense, meaning, distinction, defining
Topic 949 (0.00): weight, diet, fat, calories, eating, food, eat, day, calorie, body
Topic 958 (0.00): buildings, building, historic, heritage, conservation, listed, restoration, save, monuments, trust
Topic 181 (0.00): story, stories, told, read, book, short, tale, tales, people, telling
Topic 1333 (0.00): music, musical, musicians, choir, church, singing, songs, organ, composers, instruments
Topic 199 (0.00): behaviour, individual, people, individuals, goals, personality, attitudes, social, values, expectations
Topic 527 (0.00): duke, earl, lord, lady, family, sir, house, son, estate, daughter
Topic 337 (0.00): water, acid, sodium, calcium, aluminium, solution, salts, magnesium, chloride, iron
Topic 346 (0.00): opera, music, act, musical, operas, theatre, composer, stage, singers, scene
Topic 594 (0.00): employer, employee, employment, dismissal, employees, contract, job, tribunal, unfair, redundancy
Topic 738 (0.00): black, hole, star, mass, stars, holes, light, galaxy, gas, galaxies
Topic 489 (0.00): church, minister, chapel, congregation, ministers, churches, free, religious, nonconformist, reverend
Topic 1173 (0.00): body, tension, feel, relaxation, mind, relax, physical, muscles, technique, massage
Topic 515 (0.00): ego, unconscious, sexual, individual, psychoanalysis, human, superego, modern, theory, father
Topic 861 (0.00): paint, colour, painting, brush, oil, paper, colours, surface, watercolour, dry
Topic 757 (0.00): hundred, thousand, pounds, twenty, ten, fifty, thirty, forty, twelve, fifteen
Topic 1147 (0.00): hair, style, styling, salon, cut, products, curls, shampoo, hairdresser, dry
Topic 410 (0.00): figures, figure, sculpture, marble, statue, bronze, century, found, roman, statues
Topic 338 (0.00): debtor, court, creditors, bankruptcy, receiver, creditor, debt, insolvency, debts, petition
Topic 915 (0.00): book, books, printed, edition, printing, published, editions, copies, plates, manuscript
Topic 647 (0.00): snow, cold, ice, winter, frozen, wind, freezing, day, warm, dogs
Topic 572 (0.00): lines, circle, line, plane, centre, shape, straight, form, angle, square
Topic 1337 (0.00): public, relations, press, media, publicity, information, material, local, company, release
Topic 339 (0.00): battle, fight, victory, fighting, won, win, struggle, fought, lost, defeat
Topic 1484 (0.00): past, history, future, world, historical, generation, modern, age, time, sense
Topic 844 (0.00): human, animals, behaviour, animal, humans, species, chimpanzees, apes, chimpanzee, evolutionary
Topic 1335 (0.00): bomb, police, explosion, bombs, people, attack, yesterday, blast, exploded, city
Topic 413 (0.00): religious, religion, people, religions, beliefs, christian, faith, life, world, belief
Topic 170 (0.00): aircraft, missiles, defence, missile, air, military, weapons, war, radar, gulf
Topic 1468 (0.00): black, white, blacks, people, whites, race, racial, colour, racist, racism
Topic 233 (0.00): income, consumption, tax, capital, effect, equilibrium, expenditure, rate, model, national
Topic 781 (0.00): land, landscape, fields, drainage, enclosure, peat, pasture, woodland, acres, fens
Topic 691 (0.00): marriage, divorce, married, wife, husband, couples, marriages, relationship, partner, children
Topic 1222 (0.00): minutes, time, ten, hour, half, hours, twenty, fifteen, day, late
Topic 437 (0.00): women, pill, pregnancy, woman, sex, male, female, vagina, vaginal, contraception
Topic 803 (0.00): dark, elves, world, elf, magic, chaos, power, phoenix, king, dwarf
Topic 713 (0.00): remember, memory, time, memories, past, mind, recall, remembered, life, days
Topic 232 (0.00): press, media, public, newspapers, mass, journalists, political, television, coverage, freedom
Topic 15 (0.00): votes, vote, candidates, election, party, candidate, constituency, seats, voting, voters
Topic 533 (0.00): pay, paid, salary, employee, employees, payments, earnings, salaries, payment, leave
Topic 148 (0.00): hotel, hotels, catering, guest, industry, guests, tourism, staff, manager, food
Topic 43 (0.00): professional, profession, professionals, professions, practice, public, institute, training, standards, service
Topic 1419 (0.00): disabled, people, handicapped, disability, mentally, mental, handicap, person, disabilities, life
Topic 534 (0.00): child, court, authority, care, local, children, proceedings, act, application, guardian
Topic 1428 (0.00): buyer, seller, contract, sale, section, delivery, property, price, title, purchaser
Topic 916 (0.00): death, die, dead, life, died, dying, time, people, living, alive
Topic 632 (0.00): children, drama, teacher, class, play, role, child, experience, dramatic, ideas
Topic 124 (0.00): skin, sun, cream, body, products, massage, protection, tan, water, oil
Topic 59 (0.00): investment, return, capital, rate, firm, market, earnings, portfolio, risk, cash
Topic 1346 (0.00): aircraft, squadron, attack, shot, raid, enemy, hit, air, night, fire
Topic 1464 (0.00): plant, water, leaves, plants, light, grow, growth, roots, leaf, species
Topic 1124 (0.00): island, islands, sea, beach, world, palm, islanders, boat, local, paradise
Topic 841 (0.00): exercise, fitness, body, exercises, walking, training, muscles, heart, physical, walk
Topic 1077 (0.00): speech, voice, words, speak, speaking, language, spoken, people, speaker, audience
Topic 621 (0.00): parliament, act, statute, words, court, construction, legislation, meaning, lord, effect
Topic 378 (0.00): looked, yuan, head, moment, eyes, smiled, laughed, boy, stood, father
Topic 135 (0.00): white, black, tail, flight, bill, dark, head, call, wings, legs
Topic 790 (0.00): communication, media, christian, development, education, information, world, churches, issues, people
Topic 344 (0.00): cleaning, clean, cleaner, water, chemical, cleaners, surface, products, detergent, equipment
Topic 623 (0.00): traffic, road, roads, transport, cars, residential, measures, parking, car, cyclists
Topic 1483 (0.00): east, west, eastern, kohl, western, unification, chancellor, soviet, union, federal
Topic 212 (0.00): gastric, acid, rats, pancreatic, infusion, activating, platelet, minutes, factor, secretion
Topic 1133 (0.00): girls, boys, girl, school, children, women, age, sex, boy, teenage
Topic 1149 (0.00): choice, choose, choices, chosen, choosing, decision, options, decide, selection, option
Topic 939 (0.00): court, judges, courts, justice, lord, law, judge, judicial, chancellor, legal
Topic 347 (0.00): conflict, conflicts, relationship, tensions, relationships, individual, situation, resolve, view, issues
Topic 770 (0.00): reading, read, text, reader, readers, children, books, texts, words, book
Topic 349 (0.00): population, fertility, women, age, family, birth, births, marriage, children, size
Topic 295 (0.00): engineering, engineer, engineers, design, engine, steam, machine, mechanical, engines, electrical
Topic 390 (0.00): special, children, education, educational, child, parents, learning, difficulties, provision, school
Topic 1122 (0.00): club, clubs, golf, membership, secretary, ladies, committee, president, meeting, social
Topic 1491 (0.00): sound, noise, hear, sounds, heard, ears, loud, hearing, noises, voices
Topic 217 (0.00): fish, fishing, water, bream, rod, bait, line, carp, hook, swim
Topic 677 (0.00): people, age, elderly, aged, social, ageing, population, life, retirement, dependency
Topic 1002 (0.00): international, foreign, country, overseas, countries, currency, domestic, market, export, trade
Topic 3 (0.00): god, world, human, divine, creation, gods, existence, nature, created, earth
Topic 362 (0.00): south, government, political, black, white, apartheid, violence, president, congress, national
Topic 791 (0.00): patients, pressure, sphincter, oesophagus, anal, bowel, normal, contractions, rectal, time
Topic 18 (0.00): costs, cost, incurred, basis, benefit, expenses, benefits, charges, amount, taxation
Topic 777 (0.00): drugs, drug, pain, medicines, effects, chemical, substances, pharmaceutical, research, treatment
Topic 143 (0.00): cars, car, trams, route, road, service, tramway, tram, track, corporation
Topic 238 (0.00): option, user, lifespan, page, displayed, details, characters, information, figure, display
Topic 1114 (0.00): species, natural, evolution, theory, life, evolutionary, selection, environment, history, nature
Topic 732 (0.00): music, pop, rock, musical, popular, culture, soul, punk, roll, cultural
Topic 697 (0.00): sister, nurse, hospital, ward, doctor, nurses, staff, patient, patients, bed
Topic 794 (0.00): patients, hospital, study, patient, referrals, referral, clinic, diagnosis, practitioners, referred
Topic 799 (0.00): support, children, families, mothers, lone, households, household, parents, women, people
Topic 1498 (0.00): bank, banks, banking, loans, financial, customers, branch, lending, bankers, business
Topic 963 (0.00): canal, bridge, built, railway, canals, river, water, locks, feet, lock
Topic 245 (0.00): restaurant, food, menu, bar, restaurants, dishes, wine, meals, lunch, meal
Topic 1061 (0.00): tool, battery, tools, power, batteries, machine, blade, drill, handle, cutting
Topic 1006 (0.00): objectives, objective, goals, achieve, goal, set, achieved, aims, aim, means
Topic 989 (0.00): bag, bags, plastic, paper, left, packed, boxes, box, car, carrier
Topic 646 (0.00): gold, jewellery, precious, silver, diamonds, stones, ivory, jade, pearls, jewels
Topic 1308 (0.00): earth, sun, planet, planets, space, stars, life, universe, solar, system
Topic 1373 (0.00): bike, walk, walking, cycling, ride, cycle, route, mountain, miles, bikes
Topic 226 (0.00): competition, market, commission, merger, mergers, policy, agreements, article, practices, firms
Topic 105 (0.00): china, people, students, political, party, foreign, official, square, yuan, economic
Topic 703 (0.00): data, information, statistics, census, analysis, statistical, collected, population, collection, archive
Topic 488 (0.00): race, running, marathon, run, miles, runners, time, training, event, races
Topic 1287 (0.00): dad, mum, yer, dolly, told, billy, granny, time, day, job
Topic 848 (0.00): sergeant, police, policeman, street, constable, beat, station, time, duty, policemen
Topic 1066 (0.00): variation, linguistic, speakers, social, variable, speech, community, patterns, language, variables
Topic 574 (0.00): ozone, greenhouse, global, atmosphere, carbon, layer, effect, dioxide, climate, temperature
Topic 622 (0.00): rape, sexual, intercourse, consent, woman, assault, victim, sex, law, offence
Topic 14 (0.00): science, physics, subject, students, sciences, mathematics, subjects, arts, chemistry, physical
Topic 1420 (0.00): climbing, route, rock, routes, wall, left, crag, climbed, pitch, climb
Topic 1130 (0.00): plan, planning, plans, planners, planned, future, strategic, process, set, strategy
Topic 971 (0.00): mortgage, building, societies, loan, rate, society, rates, house, home, lenders
Topic 303 (0.00): carboniferous, basin, rocks, southern, gas, north, lower, upper, south, sediments
Topic 490 (0.00): spectrum, energy, bands, symmetry, frequency, spectra, band, atoms, modes, frequencies
Topic 1426 (0.00): mill, mills, water, century, corn, wheel, site, power, time, built
Topic 684 (0.00): multimedia, information, digital, video, disc, computer, technology, electronic, media, data
Topic 1168 (0.00): king, queen, royal, palace, majesty, prince, lord, country, princess, throne
Topic 810 (0.00): magic, army, goblin, goblins, enemy, armour, unit, troops, include, model
Topic 159 (0.00): day, people, feast, festival, event, procession, local, held, fireworks, ceremony
Topic 1103 (0.00): evidence, date, time, account, sources, mufti, death, period, appears, written
Topic 1292 (0.00): abbey, monks, church, abbot, saint, monastic, monastery, monk, saints, century
Topic 98 (0.00): glider, pilot, wind, speed, wing, flying, ground, landing, rudder, flight
Topic 1062 (0.00): decision, decisions, decide, process, action, decided, time, final, involved, actions
Topic 1183 (0.00): production, product, manufacturing, company, process, products, design, control, quality, produced
Topic 1356 (0.00): food, meat, organic, foods, health, hygiene, consumer, agriculture, products, consumers
Topic 1171 (0.00): control, controls, controlled, controlling, means, management, effective, limited, degree, measure
Topic 44 (0.00): children, parents, child, care, adoption, family, families, foster, social, parent
Topic 665 (0.00): sixties, seventies, fifties, people, time, generation, eighties, late, world, days
Topic 1325 (0.00): communication, signals, language, message, information, communicate, communicating, signal, verbal, person
Topic 452 (0.00): peace, territories, occupied, west, east, bank, middle, talks, process, settlement
Topic 458 (0.00): size, shape, length, larger, shapes, height, sizes, width, wide, weight
Topic 219 (0.00): house, commons, parliament, lords, parliamentary, peers, committee, government, speaker, act
Topic 379 (0.00): information, duty, confidence, confidential, business, fiduciary, disclosure, restraint, breach, trade
Topic 448 (0.00): geological, survey, geology, maps, mineral, data, exploration, programme, mapping, project
Topic 962 (0.00): life, living, people, world, live, lives, experience, everyday, time, ordinary
Topic 342 (0.00): farm, barn, farmer, field, hay, fields, tractor, straw, corn, plough
Topic 438 (0.00): moral, sexual, social, purity, prostitution, morality, sexuality, women, medical, public
Topic 1275 (0.00): social, cultural, literacy, forms, relations, production, culture, oral, specific, form
Topic 123 (0.00): sheep, cattle, cows, animals, lambs, farmers, lamb, animal, cow, goats
Topic 204 (0.00): wool, cotton, carpet, cloth, textile, weaving, spinning, fabrics, woven, carpets
Topic 2 (0.00): squadron, air, war, flying, bomber, aircraft, command, force, time, crew
Topic 978 (0.00): acid, bile, acids, absorption, fatty, faecal, intestinal, concentrations, calcium, patients
Topic 500 (0.00): theft, accused, property, owner, act, section, appropriation, person, deception, guilty
Topic 146 (0.00): castle, walls, tower, built, wall, towers, castles, stone, town, fortress
Topic 806 (0.00): visit, visits, visitors, visited, tour, trip, visiting, days, meet, meeting
Topic 1482 (0.00): fight, title, boxing, champion, world, heavyweight, ring, fights, round, boxer
Topic 539 (0.00): papers, research, theses, journals, published, publication, journal, authors, geology, thesis
Topic 442 (0.00): physical, geography, processes, environmental, environment, human, systems, geographers, research, soil
Topic 191 (0.00): date, period, time, notice, months, days, limit, day, conditions, limitation
Topic 366 (0.00): hospital, operation, surgery, bone, surgeon, transplant, patient, heart, surgeons, treatment
Topic 113 (0.00): feel, feeling, people, feelings, time, makes, feels, person, guilty, physically
Topic 35 (0.00): god, people, story, blood, genesis, exodus, sacrifice, chapter, covenant, land
Topic 750 (0.00): damage, caused, people, flood, damaged, disaster, affected, flooding, destroyed, floods
Topic 435 (0.00): miller, plants, birds, society, time, garden, species, specimens, john, botanical
Topic 324 (0.00): emperor, palace, imperial, court, empress, prince, gold, sheikh, throne, grand
Topic 1332 (0.00): insulin, blood, diabetic, diabetes, glucose, patients, cholesterol, pressure, subjects, control
Topic 850 (0.00): wedding, bride, married, marriage, church, groom, ceremony, day, couple, family
Topic 193 (0.00): violence, behaviour, aggression, aggressive, violent, physical, attack, incidents, act, abuse
Topic 1359 (0.00): village, community, local, villages, rural, villagers, life, people, farm, social
Topic 433 (0.00): kitchen, cooking, oven, food, microwave, cooker, machine, grill, gas, washing
Topic 1458 (0.00): effect, effects, impact, direct, affect, result, adverse, affected, indirect, lead
Topic 72 (0.00): scheme, schemes, system, introduced, proposed, pilot, set, local, vouchers, existing
Topic 195 (0.00): opponent, kick, punch, attacker, foot, stance, attack, body, defender, techniques
Topic 54 (0.00): birth, mortality, infant, age, maternal, infants, weight, child, countries, women
Topic 174 (0.00): drivers, vehicle, driver, driving, vehicles, road, motor, transport, car, drive
Topic 313 (0.00): record, music, records, company, band, artist, companies, artists, recording, deal
Topic 766 (0.00): game, games, graphics, computer, adventure, total, screen, code, play, sound
Topic 1087 (0.00): sir, time, van, looked, lieutenant, mind, john, captain, admiral, officer
Topic 446 (0.00): water, pool, pond, swimming, swim, pools, fish, fountain, surface, pump
Topic 591 (0.00): world, countries, globe, international, nations, war, people, united, history, time
Topic 104 (0.00): animals, animal, welfare, human, wild, cruelty, species, zoo, suffering, dogs
Topic 944 (0.00): abuse, child, children, social, workers, sexual, abused, parents, protection, care
Topic 470 (0.00): dolphins, whales, dolphin, whale, whaling, fishing, fish, marine, tuna, species
Topic 759 (0.00): flow, turbulent, velocity, boundary, motion, fluid, section, turbulence, convection, transition
Topic 860 (0.00): stage, stages, process, development, final, initial, time, complete, form, begin
Topic 341 (0.00): teachers, society, class, classes, training, day, office, movement, membership, contact
Topic 1303 (0.00): mining, mine, mines, copper, ore, gold, tin, miners, company, lead
Topic 911 (0.00): snake, prey, species, predator, snakes, animal, predators, animals, poison, poisonous
Topic 1273 (0.00): complaints, investigation, complaint, inspectors, inquiry, report, inspector, authority, commissioner, inspection
Topic 1238 (0.00): hours, day, week, time, hour, night, days, times, period, periods
Topic 316 (0.00): naked, legs, penis, inside, body, breasts, woman, thighs, girl, mouth
Topic 1014 (0.00): licence, board, licensing, premises, application, section, grant, act, liquor, subs
