Topic 115 (0.01): eyes, looked, smile, time, moment, smiled, voice, head, hand, told
Topic 613 (0.00): north, south, west, east, northern, region, southern, country, eastern, western
Topic 834 (0.00): act, legislation, protection, regulation, public, government, regulations, powers, law, protect
Topic 75 (0.00): unemployment, employment, unemployed, jobs, people, training, job, government, labour, workers
Topic 575 (0.00): legal, law, solicitors, solicitor, aid, society, advice, lawyers, profession, services
Topic 421 (0.00): shares, company, share, shareholders, issue, capital, stock, ordinary, rights, directors
Topic 1340 (0.00): module, lifespan, package, modules, user, version, manager, file, approval, access
Topic 1136 (0.00): chemical, chemicals, products, plant, industry, business, company, production, materials, process
Topic 1496 (0.00): fire, smoke, flames, burning, fires, burn, set, flame, brigade, blaze
Topic 336 (0.00): training, courses, staff, skills, trainees, programme, programmes, time, management, development
Topic 737 (0.00): age, disease, mortality, incidence, study, population, rates, prevalence, table, aged
Topic 274 (0.00): garden, gardens, plants, gardening, gardener, trees, house, gardeners, planting, lawn
Topic 878 (0.00): roof, tiles, wall, timber, walls, floor, wood, insulation, damp, building
Topic 1362 (0.00): water, rivers, supply, sewage, river, pollution, nitrate, authority, drinking, supplies
Topic 1092 (0.00): system, systems, based, control, operation, approach, simple, method, single, result
Topic 166 (0.00): words, word, meaning, language, meanings, means, phrase, phrases, dictionary, sentence
Topic 1489 (0.00): local, authority, authorities, government, central, grant, services, national, grants, expenditure
Topic 331 (0.00): poem, poetry, poet, poems, verse, lines, writing, poetic, written, poets
Topic 252 (0.00): term, terms, word, sense, describe, meaning, refer, definition, means, phrase
Topic 251 (0.00): association, membership, society, national, organisation, council, associations, societies, support, annual
Topic 1112 (0.00): service, services, provide, offer, customers, range, providing, provided, customer, support
Topic 866 (0.00): contract, liability, clause, breach, terms, clauses, act, party, exclusion, contracts
Topic 139 (0.00): sense, mood, feeling, world, gloom, fear, future, moment, time, confidence
Topic 65 (0.00): workers, labour, wages, women, trade, employment, wage, employers, worker, skilled
Topic 265 (0.00): forest, soil, land, conservation, erosion, forests, environmental, timber, tropical, rainforest
Topic 1455 (0.00): metres, world, championships, won, team, time, gold, champion, race, medal
Topic 1301 (0.00): species, fossil, fossils, dinosaurs, animals, living, mammals, preserved, found, rocks
Topic 1300 (0.00): blood, body, heart, system, disease, pressure, tissue, cells, brain, tissues
Topic 786 (0.00): questions, question, answer, answers, answered, answering, reply, difficult, information, simple
Topic 643 (0.00): debt, loan, loans, finance, money, debts, bank, capital, pay, credit
Topic 767 (0.00): product, marketing, market, products, consumer, markets, customer, purchase, sales, customers
Topic 281 (0.00): court, legal, action, compensation, claim, damages, pay, judge, decision, claims
Topic 264 (0.00): banks, companies, billion, financial, market, debt, firms, bank, capital, investors
Topic 273 (0.00): rain, weather, wet, day, dry, water, cold, days, conditions, wind
Topic 116 (0.00): school, schools, staff, governors, teachers, head, management, education, curriculum, parents
Topic 287 (0.00): hospital, hospitals, patients, mental, health, care, services, community, mentally, psychiatric
Topic 640 (0.00): book, books, publishers, publishing, titles, booksellers, sales, publisher, trade, published
Topic 111 (0.00): market, exchange, stock, trading, dealing, securities, financial, insider, markets, futures
Topic 792 (0.00): spirit, god, holy, gospel, church, testament, mark, lord, faith, people
Topic 1009 (0.00): northern, unionist, political, paisley, government, catholic, province, loyalist, unionists, republic
Topic 406 (0.00): danger, fear, risk, warning, avoid, dangerous, run, dangers, people, reason
Topic 182 (0.00): school, boys, headmaster, boy, class, time, girls, teacher, parents, day
Topic 1421 (0.00): writing, essay, written, write, sentence, words, reader, paragraph, text, sentences
Topic 1004 (0.00): tax, poll, local, charge, council, government, community, pay, rates, people
Topic 455 (0.00): research, university, scientists, researchers, cancer, professor, found, scientist, institute, disease
Topic 125 (0.00): investment, funds, fund, trust, investors, trusts, capital, companies, unit, income
Topic 391 (0.00): fish, sea, water, species, animals, creatures, marine, coral, corals, reef
Topic 1442 (0.00): evidence, police, proceedings, court, criminal, prosecution, person, section, act, documents
Topic 1118 (0.00): output, switch, input, power, voltage, control, signal, circuit, level, pin
Topic 453 (0.00): learn, lesson, school, teacher, lessons, taught, teach, teaching, learning, time
Topic 487 (0.00): tree, trees, forest, branches, leaves, wood, oak, woodland, pine, green
Topic 1474 (0.00): social, services, welfare, voluntary, provision, local, health, service, provide, education
Topic 323 (0.00): survey, sample, questionnaire, respondents, sampling, research, population, questions, surveys, interview
Topic 69 (0.00): safety, health, accidents, accident, safe, regulations, risk, environment, hazards, people
Topic 1260 (0.00): bad, news, worse, worst, wrong, time, happened, disaster, luck, hard
Topic 1100 (0.00): video, tape, recording, sound, record, recorder, tapes, cassette, videos, machine
Topic 922 (0.00): sugar, cream, mixture, flour, add, butter, water, bowl, egg, chocolate
Topic 307 (0.00): telephone, communications, network, cable, system, telecommunications, networks, radio, technology, equipment
Topic 564 (0.00): health, hospital, service, patients, waiting, authority, hospitals, ambulance, care, trust
Topic 17 (0.00): brain, visual, cells, system, nerve, cortex, nervous, neurons, cell, electrical
Topic 661 (0.00): sale, sold, auction, million, lot, collection, bought, lots, paintings, sales
Topic 499 (0.00): campaign, people, support, local, public, action, campaigns, petition, protest, government
Topic 1093 (0.00): fashion, clothes, designer, design, designers, style, wear, collection, dress, street
Topic 872 (0.00): noun, lexical, semantic, adjective, sentence, verb, adjectives, meaning, property, phrase
Topic 626 (0.00): chip, chips, sun, performance, memory, system, systems, parallel, model, company
Topic 300 (0.00): temple, goddess, sacred, gods, god, cult, ancient, temples, religious, ritual
Topic 1321 (0.00): treaty, international, convention, article, parties, party, law, treaties, rights, agreement
Topic 1347 (0.00): account, bank, money, cheque, cash, cheques, accounts, pay, payment, paid
Topic 597 (0.00): government, public, private, industry, privatisation, industries, sector, companies, enterprises, ownership
Topic 1488 (0.00): publishing, page, printer, desktop, graphics, text, printing, printers, postscript, software
Topic 417 (0.00): fees, charges, charge, fee, pay, costs, cost, paid, payment, service
Topic 440 (0.00): land, property, ownership, owner, rights, estate, estates, possession, owners, owned
Topic 1397 (0.00): government, charter, people, public, encourage, services, ensure, continue, improve, labour
Topic 491 (0.00): symptoms, cold, worse, pain, pains, cough, headache, fever, dry, heat
Topic 1086 (0.00): animals, wild, animal, tiger, hunting, prey, food, lion, goat, lions
Topic 887 (0.00): love, life, loved, relationship, heart, marry, marriage, loving, time, loves
Topic 983 (0.00): water, heat, hot, heating, temperature, gas, air, cold, system, central
Topic 77 (0.00): manager, company, service, director, sales, left, joined, team, department, staff
Topic 899 (0.00): dance, ballet, dancers, dancing, music, dancer, dances, tiller, ballets, danced
Topic 140 (0.00): rail, railway, railways, trains, transport, services, line, service, network, train
Topic 851 (0.00): lord, duke, office, royal, political, sir, patronage, john, crown, service
Topic 1056 (0.00): competition, send, prize, free, win, address, offer, worth, readers, entry
Topic 1211 (0.00): male, males, female, females, species, sexual, sex, mating, breeding, mate
Topic 1137 (0.00): funeral, death, died, grave, dead, buried, church, cemetery, coffin, burial
Topic 369 (0.00): book, books, read, reading, library, pages, page, people, written, shelves
Topic 398 (0.00): nursing, nurses, patient, nurse, care, ward, patients, staff, health, hospital
Topic 1098 (0.00): agreement, negotiations, agreed, deal, agreements, terms, parties, negotiating, reached, negotiation
Topic 536 (0.00): travel, journey, world, travelling, travelled, country, trip, traveller, cook, people
Topic 1244 (0.00): waste, environmental, disposal, recycling, rubbish, toxic, environment, wastes, dumping, sites
Topic 1135 (0.00): information, knowledge, sources, relevant, provide, access, data, process, environmental, specific
Topic 228 (0.00): advertising, agency, campaign, agencies, media, advertisements, marketing, ad, product, commercial
Topic 816 (0.00): world, reality, real, life, experience, imagination, image, sense, fantasy, truth
Topic 1370 (0.00): art, arts, artists, artist, design, artistic, painting, aesthetic, visual, creative
Topic 304 (0.00): city, cities, centre, capital, streets, urban, town, people, buildings, central
Topic 1194 (0.00): sentence, court, offenders, courts, criminal, prison, justice, offences, magistrates, offence
Topic 1471 (0.00): islands, sea, pacific, south, north, ocean, island, land, coast, ice
Topic 20 (0.00): tenant, landlord, lease, rent, premises, clause, covenant, term, covenants, property
Topic 1435 (0.00): rights, human, freedom, law, citizenship, civil, individual, citizens, convention, public
Topic 443 (0.00): public, private, sector, government, services, sectors, market, service, provision, individuals
Topic 1461 (0.00): organization, organizations, organizational, management, control, structure, internal, system, organized, managers
Topic 985 (0.00): black, ethnic, racism, race, racial, white, racist, minority, cultural, minorities
Topic 1450 (0.00): disk, machine, drive, memory, hard, ram, computer, card, windows, floppy
Topic 457 (0.00): employment, manufacturing, industry, industries, sector, industrial, labour, jobs, economy, growth
Topic 636 (0.00): child, parents, children, behaviour, mother, parent, family, play, learn, attention
Topic 372 (0.00): ants, insects, ant, insect, eggs, larvae, leaves, spiders, fly, spider
Topic 1433 (0.00): project, projects, library, development, team, schools, skills, resources, involved, study
Topic 964 (0.00): pipe, water, pipes, valve, system, fitted, cistern, tap, pump, main
Topic 1403 (0.00): jobs, company, factory, workers, plant, job, staff, closure, redundancies, losses
Topic 537 (0.00): offence, person, act, section, law, harm, conduct, offences, guilty, defendant
Topic 618 (0.00): equipment, maintenance, building, system, systems, facilities, storage, fire, control, installation
Topic 1193 (0.00): concrete, sand, bricks, ground, soil, wall, cement, brick, level, building
Topic 1011 (0.00): class, social, classes, middle, upper, society, status, mobility, manual, professional
Topic 152 (0.00): children, toys, play, child, toy, nursery, games, dolls, baby, fun
Topic 1234 (0.00): design, architecture, architect, architects, building, buildings, architectural, style, office, designs
Topic 1250 (0.00): categories, category, types, classification, type, fall, classified, distinction, defined, form
Topic 137 (0.00): urban, development, city, local, cities, programme, government, economic, investment, projects
Topic 633 (0.00): water, plastic, bottle, bottles, container, containers, glass, boxes, bag, jar
Topic 615 (0.00): sport, sports, football, sporting, cricket, club, games, playing, tennis, rugby
Topic 1187 (0.00): church, churches, people, christian, worship, god, mission, missionary, leaders, community
Topic 216 (0.00): health, care, medical, services, people, education, disease, public, national, medicine
Topic 280 (0.00): crime, crimes, criminal, police, corporate, offences, law, committed, statistics, criminals
Topic 57 (0.00): hotel, facilities, centre, accommodation, telephone, situated, bar, hotels, private, offer
Topic 27 (0.00): role, play, roles, played, process, major, involved, plays, importance, key
Topic 444 (0.00): quality, improvement, process, management, customer, company, service, customers, performance, business
Topic 364 (0.00): winter, summer, spring, autumn, cold, weather, season, months, days, late
Topic 1447 (0.00): relationship, relationships, social, close, friendship, support, friends, mutual, sense, network
Topic 1277 (0.00): cancer, patients, tumour, tumours, cell, cancers, malignant, found, carcinoma, cells
Topic 1096 (0.00): bar, pub, drink, beer, pubs, pint, night, landlord, inn, drinking
Topic 676 (0.00): rules, regulations, conduct, practice, code, behaviour, strict, standards, principles, practices
Topic 285 (0.00): polymer, chain, polymers, temperature, stress, strain, volume, energy, chains, elastic
Topic 886 (0.00): particles, quantum, theory, particle, electron, energy, physics, mechanics, electrons, light
Topic 590 (0.00): accounting, accounts, financial, cash, statement, balance, statements, information, capital, sheet
Topic 650 (0.00): soviet, union, eastern, western, west, economic, countries, foreign, republics, relations
Topic 546 (0.00): road, left, path, follow, track, walk, route, miles, cross, gate
Topic 299 (0.00): power, control, authority, exercise, powers, powerful, influence, exercised, position, individual
Topic 360 (0.00): industrial, industry, steel, industries, people, factories, coal, iron, factory, towns
Topic 1127 (0.00): prison, prisoners, prisons, prisoner, inmates, cell, officers, jail, staff, governor
Topic 88 (0.00): royal, president, sir, queen, chairman, lord, association, evening, princess, john
Topic 291 (0.00): food, aid, relief, people, supplies, refugees, famine, war, children, emergency
Topic 512 (0.00): road, roads, traffic, bridge, transport, route, bypass, motorway, junction, department
Topic 917 (0.00): family, families, children, life, parents, relatives, home, nuclear, unit, relationships
Topic 504 (0.00): ball, penalty, game, half, scored, penalties, rugby, minutes, kick, match
Topic 749 (0.00): land, property, title, transfer, registered, husband, wife, registration, charge, mortgage
Topic 1297 (0.00): techniques, sample, laboratory, technique, measurement, methods, system, analysis, measurements, samples
Topic 1242 (0.00): technology, workers, production, machine, machines, job, management, technological, worker, factory
Topic 692 (0.00): photographs, photograph, photography, pictures, photographer, camera, photographic, picture, photographers, photo
Topic 1480 (0.00): drug, drugs, heroin, users, cocaine, cannabis, user, ecstasy, people, addiction
Topic 465 (0.00): mountain, climbing, climb, summit, climbers, top, ridge, mountains, rock, peak
Topic 1028 (0.00): house, miles, local, walks, garden, activities, bedrooms, park, easily, golf
Topic 706 (0.00): pension, scheme, pensions, schemes, contributions, retirement, occupational, benefits, pensioners, employees
Topic 160 (0.00): plate, continental, crust, oceanic, ocean, earth, mantle, plates, continents, rocks
Topic 1156 (0.00): language, students, video, book, practice, material, classroom, activities, teaching, skills
Topic 949 (0.00): weight, diet, calories, fat, food, eating, eat, day, body, calorie
Topic 267 (0.00): cells, cell, development, embryo, chromosomes, embryos, egg, genes, form, limb
Topic 181 (0.00): story, stories, told, book, read, short, tale, tales, people, life
Topic 1008 (0.00): patients, gastric, ulcer, duodenal, acid, gastritis, subjects, secretion, healing, study
Topic 199 (0.00): behaviour, individual, people, individuals, goals, personality, attitudes, social, expectations, values
Topic 1269 (0.00): test, tests, testing, results, score, scores, tested, assessment, performance, ability
Topic 1333 (0.00): music, musical, musicians, choir, church, songs, singing, composers, organ, instruments
Topic 527 (0.00): duke, earl, lord, lady, sir, family, house, son, john, estate
Topic 346 (0.00): opera, music, musical, act, composer, operas, theatre, stage, performed, scene
Topic 1464 (0.00): plant, water, leaves, plants, light, grow, growth, leaf, roots, stem
Topic 594 (0.00): employer, employee, employment, dismissal, employees, contract, job, unfair, redundancy, tribunal
Topic 738 (0.00): black, hole, star, mass, holes, stars, light, galaxy, galaxies, energy
Topic 410 (0.00): figures, figure, sculpture, marble, statue, bronze, century, found, classical, style
Topic 1077 (0.00): speech, voice, words, speak, speaking, language, people, spoken, speaker, audience
Topic 338 (0.00): debtor, court, creditors, bankruptcy, receiver, debt, creditor, insolvency, petition, debts
Topic 1173 (0.00): body, tension, feel, relaxation, mind, muscles, relax, physical, technique, massage
Topic 844 (0.00): human, behaviour, animals, animal, humans, species, apes, chimpanzees, chimpanzee, evolution
Topic 1147 (0.00): hair, style, styling, salon, cut, colour, products, curls, shampoo, hairdresser
Topic 958 (0.00): buildings, building, historic, heritage, conservation, listed, restoration, save, monuments, local
Topic 1484 (0.00): past, history, future, world, historical, generation, tradition, modern, time, life
Topic 1222 (0.00): minutes, time, ten, hour, half, hours, twenty, fifteen, day, minute
Topic 572 (0.00): lines, circle, line, shape, plane, straight, centre, angle, form, square
Topic 233 (0.00): income, consumption, tax, capital, effect, equilibrium, expenditure, rate, model, national
Topic 1419 (0.00): people, disabled, handicapped, disability, mentally, handicap, mental, disabilities, person, wheelchair
Topic 489 (0.00): church, minister, chapel, congregation, ministers, churches, religious, free, nonconformist, reverend
Topic 534 (0.00): child, court, authority, care, children, local, proceedings, act, application, guardian
Topic 515 (0.00): ego, unconscious, psychoanalysis, sexual, individual, human, superego, modern, theory, instincts
Topic 1337 (0.00): public, relations, press, media, publicity, information, material, local, release, company
Topic 337 (0.00): water, acid, sodium, calcium, aluminium, solution, iron, salts, chloride, process
Topic 420 (0.00): definition, defined, concept, definitions, define, terms, sense, meaning, defining, distinction
Topic 1149 (0.00): choice, choose, choices, chosen, choosing, decision, options, decide, selection, option
Topic 1335 (0.00): bomb, police, explosion, people, bombs, attack, yesterday, blast, exploded, city
Topic 861 (0.00): paint, colour, brush, painting, oil, paper, surface, watercolour, colours, dry
Topic 915 (0.00): book, books, printed, edition, printing, published, editions, copies, plates, copy
Topic 803 (0.00): dark, elves, world, elf, chaos, magic, power, phoenix, king, ancient
Topic 1346 (0.00): aircraft, squadron, attack, shot, raid, night, enemy, air, hit, day
Topic 437 (0.00): women, pregnancy, pill, sex, woman, male, vaginal, female, sexual, contraception
Topic 757 (0.00): hundred, thousand, pounds, ten, twenty, fifty, thirty, forty, twelve, fifteen
Topic 533 (0.00): pay, paid, salary, employee, employees, payments, earnings, salaries, payment, contributions
Topic 15 (0.00): votes, vote, candidates, election, party, candidate, constituency, seats, voters, voting
Topic 148 (0.00): hotel, hotels, catering, guest, industry, guests, tourism, staff, food, restaurant
Topic 170 (0.00): aircraft, defence, missiles, missile, air, military, war, weapons, radar, gulf
Topic 841 (0.00): exercise, fitness, body, exercises, walking, training, muscles, physical, heart, walk
Topic 413 (0.00): religious, religion, people, religions, beliefs, christian, life, faith, belief, society
Topic 344 (0.00): cleaning, clean, cleaner, water, products, surface, chemical, cleaners, detergent, equipment
Topic 713 (0.00): remember, memory, time, memories, past, mind, recall, remembered, life, ago
Topic 212 (0.00): gastric, rats, pancreatic, acid, infusion, activating, minutes, factor, platelet, secretion
Topic 232 (0.00): press, media, public, newspapers, journalists, mass, television, political, coverage, government
Topic 781 (0.00): land, landscape, fields, drainage, enclosure, peat, pasture, woodland, common, fens
Topic 1468 (0.00): black, white, blacks, people, whites, racial, race, colour, racism, racist
Topic 691 (0.00): marriage, divorce, wife, married, husband, couples, marriages, partner, relationship, children
Topic 1124 (0.00): island, islands, sea, beach, palm, miles, world, islanders, local, boat
Topic 339 (0.00): battle, fight, victory, win, won, fought, fighting, struggle, lost, war
Topic 621 (0.00): parliament, statute, words, act, court, legislation, construction, meaning, effect, parliamentary
Topic 647 (0.00): snow, cold, ice, winter, frozen, wind, freezing, day, warm, weather
Topic 1122 (0.00): club, clubs, golf, membership, secretary, committee, ladies, meeting, president, social
Topic 378 (0.00): looked, yuan, head, eyes, moment, smiled, boy, laughed, stood, nodded
Topic 1428 (0.00): buyer, seller, contract, sale, section, delivery, price, property, title, purchaser
Topic 43 (0.00): professional, profession, professionals, professions, practice, public, institute, training, standards, service
Topic 124 (0.00): skin, sun, cream, products, body, massage, protection, natural, dry, tan
Topic 347 (0.00): conflict, conflicts, relationship, individual, tensions, situation, relationships, resolve, view, tension
Topic 59 (0.00): investment, capital, return, rate, firm, market, earnings, risk, portfolio, expected
Topic 217 (0.00): fish, fishing, water, bream, rod, line, bait, carp, hook, anglers
Topic 135 (0.00): white, black, tail, flight, bill, dark, call, head, winter, wings
Topic 623 (0.00): traffic, road, roads, transport, cars, measures, residential, streets, pedestrian, cyclists
Topic 349 (0.00): population, fertility, women, age, family, birth, births, children, marriage, rates
Topic 295 (0.00): engineering, engineer, engineers, design, engine, steam, machine, mechanical, engines, electrical
Topic 1114 (0.00): species, natural, evolution, theory, life, environment, evolutionary, human, history, nature
Topic 632 (0.00): children, drama, teacher, class, play, role, child, experience, dramatic, ideas
Topic 916 (0.00): death, die, dead, life, died, dying, living, time, alive, people
Topic 18 (0.00): costs, cost, incurred, basis, expenses, benefit, benefits, charges, amount, taxation
Topic 939 (0.00): court, judges, courts, justice, lord, judge, judicial, law, chancellor, legal
Topic 3 (0.00): god, world, human, divine, creation, gods, nature, existence, earth, christian
Topic 1483 (0.00): east, west, eastern, kohl, western, unification, soviet, chancellor, union, federal
Topic 143 (0.00): cars, car, route, trams, road, service, tramway, tram, corporation, track
Topic 790 (0.00): communication, media, christian, development, education, world, information, churches, programme, issues
Topic 1133 (0.00): girls, boys, girl, school, age, sex, women, boy, children, teenage
Topic 989 (0.00): bag, bags, plastic, paper, packed, left, boxes, car, box, clothes
Topic 697 (0.00): sister, nurse, hospital, ward, nurses, doctor, patient, staff, patients, bed
Topic 770 (0.00): reading, read, text, reader, readers, children, books, texts, book, words
Topic 677 (0.00): people, age, elderly, aged, social, ageing, population, life, living, dependency
Topic 791 (0.00): patients, pressure, sphincter, oesophagus, anal, bowel, rectal, contractions, lower, constipation
Topic 390 (0.00): special, children, education, educational, child, learning, difficulties, provision, parents, nursery
Topic 1491 (0.00): sound, noise, hear, sounds, heard, loud, ears, hearing, voices, noises
Topic 362 (0.00): south, government, political, black, apartheid, white, national, president, violence, congress
Topic 963 (0.00): canal, bridge, built, railway, canals, river, water, locks, feet, grand
Topic 777 (0.00): drugs, drug, pain, effects, medicines, chemical, substances, pharmaceutical, substance, research
Topic 1287 (0.00): mum, dad, yer, dolly, told, time, billy, granny, job, bit
Topic 732 (0.00): music, pop, rock, musical, popular, culture, soul, punk, roll, time
Topic 794 (0.00): patients, hospital, study, patient, referrals, referral, clinic, diagnosis, referred, practitioners
Topic 238 (0.00): option, user, lifespan, page, displayed, details, characters, information, figure, display
Topic 1002 (0.00): foreign, international, country, overseas, countries, currency, domestic, export, market, trade
Topic 226 (0.00): competition, commission, market, merger, mergers, policy, agreements, article, practices, firms
Topic 488 (0.00): race, running, marathon, run, runners, miles, time, event, races, training
Topic 799 (0.00): support, children, mothers, families, lone, households, household, people, parents, women
Topic 646 (0.00): gold, jewellery, precious, silver, stones, diamonds, jade, ivory, pearls, jewels
Topic 1308 (0.00): earth, sun, planet, planets, life, space, stars, universe, solar, moon
Topic 105 (0.00): china, students, people, political, party, foreign, square, official, yuan, reform
Topic 622 (0.00): rape, sexual, intercourse, consent, woman, assault, victim, law, sex, offence
Topic 703 (0.00): data, information, statistics, census, analysis, statistical, collected, collection, population, figures
Topic 1006 (0.00): objectives, goals, objective, achieve, goal, set, achieved, aims, means, aim
Topic 245 (0.00): restaurant, food, menu, bar, restaurants, dishes, lunch, meal, meals, wine
Topic 1498 (0.00): bank, banks, banking, financial, customers, loans, branch, central, lending, national
Topic 1061 (0.00): tool, battery, tools, batteries, power, machine, blade, drill, handle, cutting
Topic 1373 (0.00): bike, walk, walking, cycling, route, cycle, ride, mountain, cyclists, bikes
Topic 574 (0.00): ozone, greenhouse, atmosphere, global, carbon, effect, temperature, layer, dioxide, warming
Topic 490 (0.00): spectrum, energy, bands, symmetry, frequency, spectra, band, species, modes, frequencies
Topic 1130 (0.00): plan, planning, plans, planned, planners, future, time, set, strategic, resources
Topic 303 (0.00): carboniferous, basin, rocks, southern, gas, north, lower, south, upper, sediments
Topic 810 (0.00): magic, army, goblin, goblins, enemy, unit, include, armour, troops, model
Topic 14 (0.00): science, physics, subject, students, sciences, subjects, mathematics, chemistry, arts, physical
Topic 1066 (0.00): variation, linguistic, speakers, social, variable, speech, patterns, community, variables, language
Topic 1356 (0.00): food, meat, foods, health, organic, hygiene, agriculture, consumer, consumers, products
Topic 1420 (0.00): climbing, rock, route, routes, wall, crag, left, climbed, pitch, climb
Topic 1168 (0.00): king, queen, palace, royal, majesty, prince, country, princess, people, throne
Topic 971 (0.00): mortgage, building, loan, rate, societies, rates, society, home, lenders, house
Topic 848 (0.00): sergeant, police, policeman, street, constable, station, beat, time, duty, policemen
Topic 684 (0.00): multimedia, information, digital, video, disc, technology, electronic, computer, media, data
Topic 159 (0.00): day, people, feast, event, festival, procession, village, ceremony, held, church
Topic 1292 (0.00): abbey, monks, church, saint, abbot, monastic, monastery, prior, monk, century
Topic 98 (0.00): glider, pilot, speed, wind, ground, wing, flying, landing, rudder, pilots
Topic 448 (0.00): geological, survey, data, geology, mineral, exploration, maps, project, mapping, programme
Topic 458 (0.00): size, shape, length, larger, shapes, sizes, width, height, weight, wide
Topic 1103 (0.00): evidence, date, time, sources, account, period, death, mufti, appears, written
Topic 806 (0.00): visit, visits, visitors, visited, tour, visiting, trip, meet, days, met
Topic 379 (0.00): information, duty, confidence, confidential, fiduciary, business, disclosure, restraint, trade, breach
Topic 1171 (0.00): control, controls, controlled, controlling, means, management, system, effective, limited, measure
Topic 1426 (0.00): mill, mills, water, corn, century, site, wheel, power, built, cloth
Topic 123 (0.00): sheep, cattle, cows, animals, lambs, farmers, lamb, cow, animal, beef
Topic 35 (0.00): god, people, story, blood, genesis, sacrifice, exodus, chapter, covenant, words
Topic 44 (0.00): parents, children, child, care, adoption, family, families, foster, social, parent
Topic 1325 (0.00): communication, signals, message, information, communicate, language, communicating, verbal, messages, signal
Topic 146 (0.00): castle, walls, tower, built, wall, towers, castles, town, stone, king
Topic 1482 (0.00): fight, title, boxing, champion, world, heavyweight, ring, round, fights, boxer
Topic 2 (0.00): squadron, air, flying, war, bomber, aircraft, force, command, crew, time
Topic 204 (0.00): wool, cotton, carpet, cloth, textile, weaving, carpets, woven, spinning, fabrics
Topic 1183 (0.00): production, product, manufacturing, company, process, products, design, cost, quality, plant
Topic 500 (0.00): theft, accused, property, owner, act, section, appropriation, person, deception, guilty
Topic 978 (0.00): acid, bile, acids, absorption, fatty, faecal, concentrations, intestinal, calcium, dietary
Topic 850 (0.00): wedding, bride, married, marriage, church, groom, ceremony, family, day, couple
Topic 539 (0.00): papers, research, theses, journals, published, publication, journal, authors, geology, thesis
Topic 219 (0.00): house, commons, parliament, lords, parliamentary, committee, peers, act, speaker, government
Topic 113 (0.00): feel, feeling, people, feelings, time, feels, makes, guilty, person, physically
Topic 452 (0.00): peace, territories, occupied, east, west, bank, middle, talks, settlement, process
Topic 342 (0.00): farm, barn, farmer, field, hay, tractor, fields, straw, plough, corn
Topic 435 (0.00): miller, plants, birds, garden, time, society, specimens, species, botanical, dictionary
Topic 665 (0.00): sixties, seventies, fifties, people, time, generation, eighties, late, decade, world
Topic 438 (0.00): moral, sexual, purity, social, prostitution, morality, women, sexuality, medical, public
Topic 1062 (0.00): decision, decisions, decide, process, action, involved, decided, final, affect, time
Topic 191 (0.00): date, period, time, notice, days, months, day, limit, expiry, fixed
Topic 446 (0.00): water, pool, pond, swimming, swim, pools, fish, fountain, surface, pump
Topic 366 (0.00): hospital, operation, surgery, bone, surgeon, transplant, patient, heart, treatment, surgeons
Topic 1359 (0.00): village, community, local, villages, rural, villagers, life, people, social, farm
Topic 313 (0.00): record, music, records, company, band, artist, companies, artists, recording, deal
Topic 193 (0.00): violence, behaviour, aggression, violent, aggressive, physical, incidents, abuse, threats, social
Topic 174 (0.00): drivers, vehicle, driver, driving, road, vehicles, motor, car, transport, drive
Topic 1332 (0.00): insulin, diabetic, blood, diabetes, glucose, cholesterol, patients, pressure, subjects, control
Topic 1275 (0.00): cultural, social, literacy, forms, relations, production, culture, specific, oral, writing
Topic 442 (0.00): physical, geography, processes, human, environmental, environment, geographers, systems, research, soil
Topic 962 (0.00): life, living, world, people, live, lives, time, human, experience, everyday
Topic 1263 (0.00): failed, failure, success, attempt, efforts, time, attempts, successful, succeeded, hope
Topic 944 (0.00): abuse, child, children, social, workers, sexual, abused, parents, protection, care
Topic 911 (0.00): prey, snake, species, predator, snakes, animal, predators, poison, poisonous, animals
Topic 324 (0.00): emperor, palace, court, imperial, empress, prince, throne, gold, sheikh, son
Topic 433 (0.00): kitchen, cooking, oven, food, microwave, cooker, machine, grill, gas, cook
Topic 750 (0.00): damage, caused, people, flood, damaged, affected, disaster, flooding, destroyed, worst
Topic 341 (0.00): teachers, society, class, classes, day, training, office, movement, membership, contact
Topic 54 (0.00): birth, mortality, infant, age, maternal, infants, weight, child, countries, women
Topic 1273 (0.00): complaints, complaint, investigation, inspectors, report, inquiry, commissioner, authority, inspector, inspection
Topic 1087 (0.00): sir, time, van, looked, bit, john, mind, captain, lieutenant, officer
Topic 1289 (0.00): amiss, bit, sir, suppose, club, sort, dear, time, job, colonel
Topic 316 (0.00): naked, legs, penis, body, breasts, woman, inside, thighs, girl, bed
Topic 195 (0.00): opponent, punch, kick, attacker, foot, stance, attack, defender, hand, techniques
Topic 470 (0.00): dolphins, whales, dolphin, whale, whaling, fishing, marine, fish, tuna, species
Topic 6 (0.00): months, period, time, month, weeks, august, twelve, short, days, day
Topic 1303 (0.00): mining, mine, mines, copper, ore, gold, tin, miners, mineral, company
Topic 104 (0.00): animals, animal, welfare, human, wild, species, cruelty, zoo, people, suffering
Topic 72 (0.00): scheme, schemes, system, introduced, proposed, set, local, pilot, idea, introduce
Topic 1476 (0.00): notes, study, lecture, subject, ideas, reading, lectures, students, topic, student
Topic 766 (0.00): game, games, graphics, computer, adventure, total, code, play, screen, disks
Topic 999 (0.00): infection, bacteria, bacterial, infections, organisms, antibiotics, strain, organism, found, disease
Topic 1466 (0.00): file, program, command, line, data, function, statement, characters, format, character
