Topic 115 (0.01): eyes, looked, smile, time, moment, voice, smiled, told, mind, head
Topic 275 (0.00): advice, local, information, bureau, service, services, cab, contact, bureaux, social
Topic 279 (0.00): parliament, king, church, government, war, revolution, civil, parliamentary, country, reign
Topic 1340 (0.00): module, lifespan, package, modules, user, version, manager, file, access, approval
Topic 421 (0.00): shares, company, share, shareholders, capital, issue, stock, ordinary, rights, companies
Topic 1224 (0.00): history, historical, historians, evidence, historian, sources, past, material, documents, study
Topic 331 (0.00): poem, poetry, poet, poems, verse, lines, writing, written, poetic, friend
Topic 1136 (0.00): chemical, chemicals, products, industry, plant, business, company, materials, process, production
Topic 878 (0.00): roof, wall, tiles, walls, timber, floor, wood, damp, insulation, tile
Topic 1309 (0.00): defence, military, forces, army, armed, force, troops, air, ministry, staff
Topic 525 (0.00): meeting, committee, meetings, chairman, held, agreed, report, minutes, attend, discussion
Topic 65 (0.00): workers, labour, wages, women, trade, employment, employers, wage, skilled, worker
Topic 353 (0.00): sex, sexual, women, woman, love, male, intercourse, female, partner, relationship
Topic 247 (0.00): change, process, changing, changed, time, structure, altered, major, period, result
Topic 281 (0.00): court, legal, action, claim, compensation, damages, judge, pay, decision, lawyers
Topic 737 (0.00): age, mortality, disease, incidence, study, population, rates, prevalence, data, risk
Topic 1362 (0.00): water, rivers, supply, sewage, river, pollution, nitrate, authority, supplies, drinking
Topic 1009 (0.00): northern, unionist, paisley, political, government, catholic, province, loyalist, unionists, security
Topic 182 (0.00): school, boys, headmaster, boy, time, class, parents, teacher, day, home
Topic 1455 (0.00): metres, world, championships, won, team, time, champion, gold, race, record
Topic 265 (0.00): forest, soil, land, conservation, erosion, forests, environmental, tropical, timber, rainforest
Topic 75 (0.00): unemployment, employment, unemployed, jobs, people, job, training, government, labour, workers
Topic 1112 (0.00): service, services, provide, range, offer, customers, customer, support, provided, information
Topic 767 (0.00): product, marketing, market, products, consumer, markets, customer, sales, purchase, customers
Topic 287 (0.00): hospital, hospitals, health, mental, patients, care, services, community, mentally, psychiatric
Topic 111 (0.00): market, exchange, stock, trading, dealing, securities, financial, insider, markets, futures
Topic 1301 (0.00): species, fossil, fossils, dinosaurs, animals, living, mammals, found, preserved, rocks
Topic 640 (0.00): book, books, publishers, publishing, titles, booksellers, publisher, sales, trade, author
Topic 792 (0.00): spirit, god, holy, gospel, church, testament, mark, faith, life, lord
Topic 116 (0.00): school, schools, staff, governors, teachers, management, head, education, curriculum, parents
Topic 264 (0.00): banks, companies, billion, financial, firms, debt, market, capital, bank, investors
Topic 273 (0.00): rain, weather, wet, day, water, dry, cold, conditions, days, wind
Topic 166 (0.00): words, word, meaning, language, meanings, means, phrase, dictionary, sentence, phrases
Topic 139 (0.00): mood, sense, feeling, gloom, future, world, confidence, days, time, moment
Topic 866 (0.00): contract, liability, clause, breach, terms, act, clauses, party, exclusion, contracts
Topic 455 (0.00): research, university, scientists, researchers, professor, found, scientist, cancer, institute, disease
Topic 251 (0.00): association, membership, national, society, organisation, council, associations, societies, support, body
Topic 1489 (0.00): local, authority, authorities, government, central, grant, national, services, grants, expenditure
Topic 643 (0.00): debt, loan, loans, finance, money, debts, bank, capital, pay, banks
Topic 1118 (0.00): output, switch, input, power, voltage, control, signal, circuit, current, level
Topic 1300 (0.00): blood, body, heart, system, pressure, disease, tissue, cells, fluid, brain
Topic 1421 (0.00): writing, essay, written, write, sentence, reader, paragraph, text, words, sentences
Topic 323 (0.00): survey, sample, questionnaire, respondents, sampling, research, questions, population, surveys, people
Topic 1474 (0.00): social, services, welfare, voluntary, provision, local, service, health, education, provide
Topic 1442 (0.00): evidence, police, court, proceedings, criminal, prosecution, person, section, act, documents
Topic 125 (0.00): investment, funds, fund, investors, trusts, companies, trust, capital, unit, income
Topic 391 (0.00): fish, sea, water, species, animals, marine, creatures, coral, corals, surface
Topic 786 (0.00): questions, question, answer, answers, answered, answering, reply, information, time, simple
Topic 1004 (0.00): tax, poll, local, charge, council, government, community, pay, people, rates
Topic 487 (0.00): tree, trees, forest, branches, wood, leaves, oak, pine, woodland, green
Topic 1093 (0.00): fashion, clothes, designer, design, designers, style, wear, dress, collection, clothing
Topic 1397 (0.00): government, charter, people, public, ensure, services, encourage, improve, continue, standards
Topic 453 (0.00): learn, lesson, school, teacher, taught, lessons, teach, teaching, learning, time
Topic 406 (0.00): danger, fear, warning, risk, people, avoid, dangerous, reason, run, dangers
Topic 872 (0.00): noun, lexical, semantic, adjective, sentence, verb, adjectives, property, meaning, phrase
Topic 983 (0.00): heat, water, hot, heating, gas, temperature, air, cold, warm, central
Topic 922 (0.00): sugar, cream, flour, mixture, add, butter, water, bowl, egg, chocolate
Topic 1321 (0.00): treaty, international, convention, article, parties, party, law, rights, treaties, agreement
Topic 499 (0.00): campaign, people, support, local, public, action, petition, campaigns, protest, meeting
Topic 626 (0.00): chip, chips, sun, performance, system, memory, systems, parallel, processor, machines
Topic 1347 (0.00): account, bank, money, cheque, cash, payment, cheques, pay, accounts, paid
Topic 1100 (0.00): video, tape, recording, sound, record, recorder, cassette, tapes, recordings, audio
Topic 536 (0.00): travel, journey, world, travelling, travelled, trip, country, traveller, people, travellers
Topic 1098 (0.00): agreement, negotiations, agreed, agreements, deal, terms, parties, reached, negotiation, negotiating
Topic 597 (0.00): government, public, private, industry, sector, privatisation, industries, companies, ownership, enterprises
Topic 661 (0.00): sale, sold, auction, million, lot, collection, bought, lots, estimate, paintings
Topic 17 (0.00): brain, visual, cells, nerve, system, cortex, nervous, cell, neurons, activity
Topic 69 (0.00): safety, health, accidents, accident, safe, regulations, risk, people, hazards, environment
Topic 307 (0.00): telephone, cable, communications, network, system, telecommunications, radio, equipment, networks, technology
Topic 1137 (0.00): funeral, death, died, grave, buried, dead, church, cemetery, coffin, body
Topic 564 (0.00): health, hospital, service, patients, waiting, authority, hospitals, care, ambulance, trust
Topic 369 (0.00): book, books, read, reading, library, pages, people, page, written, found
Topic 304 (0.00): city, cities, centre, streets, capital, people, town, urban, mayor, street
Topic 140 (0.00): rail, railway, railways, trains, transport, line, services, service, network, train
Topic 1086 (0.00): animals, wild, animal, tiger, hunting, prey, lion, food, lions, tigers
Topic 834 (0.00): act, protection, legislation, regulation, public, government, regulations, law, powers, protect
Topic 417 (0.00): fees, charges, fee, charge, pay, costs, cost, paid, payment, charged
Topic 1244 (0.00): waste, environmental, disposal, recycling, rubbish, toxic, environment, dumping, wastes, sites
Topic 899 (0.00): dance, ballet, dancers, dancing, music, dances, dancer, tiller, ballets, danced
Topic 1056 (0.00): competition, send, prize, free, win, address, offer, worth, entry, prizes
Topic 1260 (0.00): bad, news, worse, worst, time, disaster, wrong, badly, left, luck
Topic 457 (0.00): employment, manufacturing, industry, sector, industries, industrial, jobs, labour, economy, growth
Topic 398 (0.00): nursing, nurses, patient, nurse, care, ward, patients, staff, health, hospital
Topic 1488 (0.00): publishing, page, printer, desktop, graphics, text, printing, software, printers, word
Topic 440 (0.00): land, property, ownership, rights, owner, estate, estates, possession, owners, owned
Topic 228 (0.00): advertising, agency, campaign, agencies, marketing, advertisements, media, ad, product, commercial
Topic 887 (0.00): love, life, loved, relationship, marry, heart, loving, time, marriage, loves
Topic 816 (0.00): world, reality, real, life, experience, sense, imagination, dream, fantasy, illusion
Topic 1194 (0.00): sentence, offenders, court, courts, criminal, prison, justice, sentences, offences, offence
Topic 491 (0.00): worse, cold, symptoms, pain, pains, cough, headache, dry, skin, fever
Topic 1471 (0.00): islands, sea, pacific, south, ocean, north, island, land, coast, world
Topic 1135 (0.00): information, sources, knowledge, relevant, data, access, provide, source, process, environmental
Topic 1250 (0.00): categories, category, types, classification, type, distinction, terms, fall, classified, individual
Topic 300 (0.00): temple, goddess, sacred, god, gods, temples, cult, ancient, ritual, religious
Topic 1211 (0.00): male, males, female, females, species, sex, sexual, breeding, mating, mate
Topic 20 (0.00): tenant, landlord, lease, rent, premises, covenant, clause, term, covenants, property
Topic 1435 (0.00): rights, human, freedom, law, civil, citizenship, individual, citizens, public, convention
Topic 1461 (0.00): organization, organizations, organizational, management, structure, control, internal, system, systems, enterprises
Topic 1450 (0.00): disk, machine, drive, memory, hard, ram, computer, windows, card, processor
Topic 1011 (0.00): class, social, classes, middle, upper, status, mobility, society, lower, manual
Topic 851 (0.00): lord, duke, office, john, political, royal, patronage, sir, crown, influence
Topic 1403 (0.00): jobs, company, factory, plant, workers, job, closure, losses, redundancies, staff
Topic 537 (0.00): offence, person, act, section, law, conduct, harm, offences, guilty, intent
Topic 137 (0.00): urban, development, local, city, cities, programme, government, economic, projects, investment
Topic 618 (0.00): equipment, maintenance, building, storage, facilities, systems, system, plant, control, provide
Topic 280 (0.00): crime, criminal, crimes, police, corporate, offences, law, committed, statistics, people
Topic 77 (0.00): manager, company, service, director, joined, left, sales, team, department, staff
Topic 1433 (0.00): project, projects, library, development, team, schools, skills, resources, involved, study
Topic 444 (0.00): quality, improvement, management, customer, customers, service, process, business, team, standards
Topic 1370 (0.00): art, arts, artists, artist, artistic, design, painting, aesthetic, visual, creative
Topic 985 (0.00): black, ethnic, racism, race, racial, white, minority, racist, cultural, minorities
Topic 1187 (0.00): church, churches, people, christian, worship, god, mission, missionary, community, congregation
Topic 216 (0.00): health, care, medical, services, people, education, national, disease, illness, medicine
Topic 1234 (0.00): design, architecture, architect, architects, building, buildings, architectural, style, office, designs
Topic 636 (0.00): child, parents, children, behaviour, mother, parent, learn, family, play, discipline
Topic 615 (0.00): sport, sports, football, sporting, cricket, games, club, game, playing, rugby
Topic 1096 (0.00): bar, pub, beer, drink, pubs, night, pint, landlord, local, drinking
Topic 590 (0.00): accounting, accounts, financial, cash, statement, balance, information, statements, capital, reporting
Topic 372 (0.00): insects, ants, insect, ant, eggs, larvae, leaves, fly, spiders, spider
Topic 964 (0.00): pipe, water, pipes, valve, fitted, pump, cistern, tap, system, fitting
Topic 299 (0.00): power, authority, control, exercise, powers, powerful, influence, exercised, individual, position
Topic 1277 (0.00): cancer, patients, tumour, tumours, cell, cancers, malignant, cells, carcinoma, study
Topic 57 (0.00): hotel, facilities, centre, accommodation, telephone, situated, bar, close, hotels, private
Topic 886 (0.00): particles, quantum, theory, electron, particle, energy, physics, electrons, mechanics, light
Topic 443 (0.00): public, private, sector, government, sectors, services, accountability, provision, market, service
Topic 420 (0.00): definition, defined, concept, definitions, terms, define, distinction, meaning, sense, defining
Topic 465 (0.00): mountain, climbing, summit, climb, climbers, rock, top, mountains, snow, ridge
Topic 27 (0.00): role, play, roles, played, process, major, importance, individual, crucial, active
Topic 1193 (0.00): concrete, soil, sand, bricks, ground, wall, brick, cement, level, surface
Topic 1464 (0.00): plant, water, leaves, plants, light, grow, growth, leaf, roots, green
Topic 676 (0.00): rules, regulations, conduct, practice, code, strict, formal, principles, behaviour, set
Topic 152 (0.00): children, toys, play, child, toy, fun, games, nursery, doll, dolls
Topic 1447 (0.00): relationship, relationships, close, social, friendship, support, friends, mutual, personal, sense
Topic 749 (0.00): land, property, title, transfer, registered, husband, registration, wife, charge, mortgage
Topic 594 (0.00): employer, employee, employment, dismissal, employees, contract, job, redundancy, unfair, tribunal
Topic 504 (0.00): ball, penalty, game, half, scored, penalties, match, rugby, scrum, score
Topic 546 (0.00): road, left, path, follow, track, walk, miles, route, cross, mile
Topic 1480 (0.00): drug, drugs, heroin, users, cocaine, cannabis, alcohol, user, crack, ecstasy
Topic 267 (0.00): cells, cell, development, embryo, chromosomes, egg, embryos, form, genes, normal
Topic 633 (0.00): water, plastic, bottles, bottle, container, containers, glass, boxes, top, pot
Topic 364 (0.00): winter, summer, spring, autumn, cold, season, weather, months, days, late
Topic 1028 (0.00): house, miles, local, walks, garden, beautiful, park, easily, activities, country
Topic 1242 (0.00): technology, workers, production, machine, machines, management, job, worker, factory, technological
Topic 291 (0.00): food, aid, relief, people, supplies, refugees, famine, war, children, emergency
Topic 160 (0.00): plate, continental, crust, oceanic, earth, ocean, mantle, plates, continents, rocks
Topic 949 (0.00): weight, diet, calories, fat, food, eating, eat, day, body, calorie
Topic 1156 (0.00): language, students, video, book, practice, material, classroom, teaching, activities, exercises
Topic 512 (0.00): road, roads, traffic, bridge, transport, route, bypass, motorway, department, junction
Topic 1297 (0.00): techniques, measurement, methods, technique, analysis, laboratory, sample, range, samples, measurements
Topic 1127 (0.00): prison, prisoners, prisons, prisoner, inmates, officers, cell, staff, jail, governor
Topic 917 (0.00): family, families, children, life, home, parents, relatives, nuclear, relationships, unit
Topic 360 (0.00): industry, industrial, steel, industries, people, factories, coal, iron, factory, towns
Topic 199 (0.00): behaviour, individual, people, individuals, goals, personality, social, attitudes, values, expectations
Topic 285 (0.00): polymer, chain, temperature, polymers, stress, strain, volume, energy, chains, elastic
Topic 692 (0.00): photographs, photograph, pictures, photography, photographer, camera, photographic, picture, photographers, photo
Topic 706 (0.00): pension, scheme, pensions, schemes, contributions, retirement, occupational, benefits, pensioners, earnings
Topic 844 (0.00): human, behaviour, animals, animal, humans, species, chimpanzees, apes, chimpanzee, evolutionary
Topic 181 (0.00): story, stories, told, book, read, tale, short, tales, telling, people
Topic 650 (0.00): soviet, union, eastern, western, countries, economic, west, foreign, relations, republics
Topic 1333 (0.00): music, musical, musicians, choir, singing, songs, church, organ, composers, instruments
Topic 958 (0.00): buildings, building, historic, heritage, conservation, listed, restoration, save, monuments, demolition
Topic 915 (0.00): book, books, edition, printed, printing, copies, editions, plates, copy, manuscript
Topic 346 (0.00): opera, music, act, musical, composer, operas, theatre, stage, production, singers
Topic 1008 (0.00): patients, gastric, ulcer, duodenal, acid, gastritis, secretion, subjects, healing, ulcers
Topic 88 (0.00): royal, president, sir, chairman, queen, lord, association, princess, evening, attended
Topic 337 (0.00): water, acid, sodium, calcium, aluminium, solution, process, salts, magnesium, iron
Topic 738 (0.00): black, hole, star, mass, holes, light, stars, galaxy, energy, galaxies
Topic 861 (0.00): paint, colour, painting, brush, oil, paper, surface, colours, white, watercolour
Topic 647 (0.00): snow, cold, ice, winter, frozen, wind, freezing, warm, day, dogs
Topic 1269 (0.00): test, tests, testing, results, scores, tested, score, assessment, sample, items
Topic 489 (0.00): church, minister, chapel, congregation, ministers, churches, religious, free, nonconformist, reverend
Topic 338 (0.00): court, debtor, creditors, bankruptcy, receiver, debt, creditor, insolvency, petition, debts
Topic 527 (0.00): duke, earl, lord, lady, family, sir, house, son, estate, daughter
Topic 1147 (0.00): hair, style, styling, cut, salon, products, colour, curls, shampoo, hairdresser
Topic 841 (0.00): exercise, fitness, body, exercises, walking, training, muscles, heart, physical, health
Topic 1222 (0.00): minutes, time, ten, hour, half, hours, day, twenty, fifteen, minute
Topic 757 (0.00): hundred, thousand, pounds, fifty, ten, twenty, thirty, forty, fifteen, twelve
Topic 1335 (0.00): bomb, police, explosion, bombs, people, blast, attack, yesterday, exploded, city
Topic 437 (0.00): women, pregnancy, pill, sex, woman, vaginal, female, male, sexual, contraception
Topic 621 (0.00): parliament, words, statute, act, court, construction, law, legislation, meaning, lord
Topic 1484 (0.00): past, history, future, world, historical, time, generation, age, modern, life
Topic 572 (0.00): lines, circle, line, plane, shape, centre, straight, angle, form, square
Topic 803 (0.00): dark, elves, world, elf, magic, chaos, power, phoenix, king, dwarf
Topic 344 (0.00): cleaning, clean, water, cleaner, chemical, products, cleaners, surface, detergent, equipment
Topic 1419 (0.00): people, disabled, handicapped, disability, mentally, mental, handicap, person, disabilities, life
Topic 1173 (0.00): body, tension, feel, relaxation, mind, relax, technique, muscles, physical, massage
Topic 534 (0.00): child, court, care, authority, children, local, proceedings, act, application, guardian
Topic 632 (0.00): children, drama, teacher, class, play, role, child, experience, dramatic, ideas
Topic 15 (0.00): votes, vote, candidates, election, party, candidate, constituency, seats, voting, voters
Topic 515 (0.00): ego, unconscious, individual, psychoanalysis, human, sexual, superego, modern, theory, culture
Topic 1337 (0.00): public, relations, press, media, publicity, information, material, local, release, company
Topic 233 (0.00): income, consumption, tax, capital, equilibrium, effect, expenditure, model, rate, national
Topic 347 (0.00): conflict, conflicts, relationship, individual, tensions, view, relationships, situation, conflicting, avoid
Topic 413 (0.00): religious, religion, religions, beliefs, people, life, christian, faith, belief, society
Topic 691 (0.00): marriage, divorce, wife, married, husband, couples, partner, marriages, relationship, children
Topic 1468 (0.00): black, white, blacks, people, whites, race, racial, colour, racist, racism
Topic 1122 (0.00): club, clubs, golf, membership, secretary, ladies, committee, meeting, annual, social
Topic 43 (0.00): professional, profession, professionals, professions, practice, public, institute, training, service, standards
Topic 148 (0.00): hotel, hotels, catering, guest, guests, industry, tourism, food, staff, manager
Topic 3 (0.00): god, world, human, divine, creation, nature, existence, gods, created, christian
Topic 1428 (0.00): buyer, seller, contract, sale, section, delivery, property, price, title, purchaser
Topic 1149 (0.00): choice, choose, choices, chosen, choosing, option, decide, options, decision, selection
Topic 212 (0.00): gastric, rats, acid, pancreatic, infusion, factor, activating, platelet, secretion, minutes
Topic 781 (0.00): land, landscape, fields, drainage, enclosure, peat, pasture, acres, river, common
Topic 533 (0.00): pay, paid, salary, employee, employees, earnings, payments, salaries, payment, contributions
Topic 1124 (0.00): island, islands, sea, beach, palm, miles, south, paradise, local, islanders
Topic 713 (0.00): remember, memory, time, memories, mind, past, recall, remembered, life, days
Topic 170 (0.00): aircraft, missiles, defence, missile, air, weapons, military, war, radar, gulf
Topic 349 (0.00): population, women, fertility, age, birth, family, births, children, marriage, rates
Topic 1346 (0.00): aircraft, squadron, attack, shot, raid, enemy, air, night, sea, hit
Topic 410 (0.00): figures, figure, sculpture, marble, statue, bronze, century, found, head, statues
Topic 59 (0.00): investment, capital, return, rate, firm, market, portfolio, earnings, risk, cash
Topic 232 (0.00): press, media, public, newspapers, mass, political, journalists, television, government, coverage
Topic 217 (0.00): fish, fishing, water, bream, rod, bait, carp, line, hook, trout
Topic 1077 (0.00): speech, voice, words, speak, language, speaking, spoken, people, speaker, audience
Topic 135 (0.00): white, black, tail, flight, bill, dark, call, head, winter, wings
Topic 378 (0.00): looked, yuan, head, eyes, moment, smiled, laughed, nodded, boy, stood
Topic 732 (0.00): music, pop, rock, musical, popular, culture, soul, punk, roll, disco
Topic 1483 (0.00): east, west, eastern, western, kohl, unification, chancellor, soviet, union, federal
Topic 939 (0.00): court, judges, courts, justice, lord, law, judge, judicial, chancellor, legal
Topic 1133 (0.00): girls, boys, girl, school, age, children, sex, boy, women, teenage
Topic 124 (0.00): skin, sun, body, cream, products, massage, natural, protection, dry, tan
Topic 390 (0.00): special, children, education, educational, child, learning, difficulties, parents, provision, school
Topic 963 (0.00): canal, built, bridge, railway, canals, river, water, feet, locks, lock
Topic 791 (0.00): patients, pressure, sphincter, oesophagus, anal, bowel, normal, rectal, lower, contractions
Topic 623 (0.00): traffic, road, roads, transport, cars, residential, street, cyclists, pedestrian, streets
Topic 226 (0.00): competition, market, commission, merger, mergers, policy, agreements, article, practices, agreement
Topic 790 (0.00): communication, media, christian, development, education, information, churches, world, issues, programme
Topic 677 (0.00): people, age, elderly, aged, social, ageing, population, life, attitudes, living
Topic 18 (0.00): costs, cost, incurred, basis, expenses, benefit, benefits, amount, charges, taxation
Topic 339 (0.00): battle, fight, victory, win, won, fighting, fought, struggle, lost, battles
Topic 794 (0.00): patients, hospital, patient, referrals, study, referral, clinic, diagnosis, practitioners, clinical
Topic 362 (0.00): south, government, political, black, apartheid, president, national, violence, white, congress
Topic 295 (0.00): engineering, engineer, engineers, engine, design, steam, mechanical, machine, engines, electrical
Topic 105 (0.00): china, people, students, party, foreign, political, reform, democracy, economic, official
Topic 143 (0.00): cars, car, route, trams, road, service, tramway, tram, track, corporation
Topic 238 (0.00): option, lifespan, user, page, displayed, details, characters, information, figure, display
Topic 916 (0.00): death, die, life, dead, died, dying, people, living, time, dies
Topic 1373 (0.00): bike, walk, walking, cycling, ride, route, cycle, miles, cyclists, bikes
Topic 1491 (0.00): sound, noise, hear, sounds, heard, ears, hearing, loud, noises, people
Topic 1287 (0.00): mum, dad, yer, dolly, told, time, billy, granny, job, money
Topic 488 (0.00): race, running, marathon, run, miles, runners, time, event, training, races
Topic 770 (0.00): reading, read, text, reader, readers, books, children, texts, words, book
Topic 1168 (0.00): king, queen, royal, palace, majesty, prince, court, country, lord, princess
Topic 1114 (0.00): species, natural, evolution, theory, life, evolutionary, nature, history, environment, selection
Topic 777 (0.00): drugs, drug, pain, medicines, chemical, effects, substances, pharmaceutical, research, treatment
Topic 14 (0.00): science, physics, subject, students, sciences, subjects, mathematics, chemistry, arts, engineering
Topic 989 (0.00): bag, bags, plastic, paper, packed, left, box, boxes, carrier, car
Topic 490 (0.00): spectrum, energy, bands, symmetry, frequency, spectra, band, atoms, species, modes
Topic 799 (0.00): support, children, families, mothers, households, lone, people, household, parents, women
Topic 1498 (0.00): bank, banks, banking, financial, loans, central, customers, bankers, lending, branch
Topic 646 (0.00): gold, jewellery, precious, silver, stones, diamonds, ivory, jade, jewels, pearls
Topic 1002 (0.00): foreign, international, country, overseas, countries, currency, domestic, market, trade, export
Topic 622 (0.00): rape, sexual, intercourse, consent, woman, assault, victim, sex, raped, women
Topic 1308 (0.00): earth, sun, planet, planets, space, life, universe, stars, solar, system
Topic 245 (0.00): restaurant, food, menu, bar, restaurants, meals, dishes, meal, wine, lunch
Topic 1061 (0.00): tool, battery, tools, drill, power, batteries, machine, blade, handle, cutting
Topic 697 (0.00): sister, nurse, hospital, ward, doctor, nurses, staff, patients, patient, bed
Topic 123 (0.00): sheep, cattle, cows, animals, lambs, farmers, lamb, cow, animal, beef
Topic 810 (0.00): magic, army, goblin, goblins, enemy, unit, armour, include, model, troops
Topic 703 (0.00): data, information, statistics, census, analysis, statistical, collected, collection, population, research
Topic 1183 (0.00): production, product, manufacturing, company, process, products, design, quality, plant, produced
Topic 574 (0.00): ozone, greenhouse, atmosphere, carbon, global, layer, temperature, dioxide, effect, warming
Topic 971 (0.00): mortgage, building, loan, societies, rate, society, home, rates, lenders, house
Topic 1420 (0.00): climbing, route, rock, routes, wall, left, crag, climbed, pitch, climb
Topic 303 (0.00): carboniferous, basin, southern, gas, rocks, north, lower, sediments, south, upper
Topic 1066 (0.00): variation, linguistic, speakers, social, variable, speech, community, patterns, variables, standard
Topic 1356 (0.00): food, meat, organic, health, foods, agriculture, hygiene, consumer, products, safety
Topic 1130 (0.00): plan, planning, plans, planned, future, planners, strategic, set, detailed, development
Topic 1426 (0.00): mill, mills, water, corn, century, wheel, site, power, time, cloth
Topic 98 (0.00): glider, wind, speed, pilot, ground, wing, landing, flying, rudder, pilots
Topic 848 (0.00): sergeant, police, policeman, street, constable, beat, time, station, duty, policemen
Topic 219 (0.00): house, commons, parliament, lords, parliamentary, government, peers, speaker, committee, act
Topic 684 (0.00): multimedia, information, digital, video, disc, computer, technology, electronic, media, data
Topic 379 (0.00): information, duty, confidence, confidential, fiduciary, trade, restraint, disclosure, business, public
Topic 1171 (0.00): control, controls, controlled, controlling, means, management, effective, system, degree, measure
Topic 539 (0.00): papers, research, theses, journals, published, publication, journal, authors, thesis, geology
Topic 448 (0.00): geological, survey, geology, data, mineral, maps, exploration, project, programme, mapping
Topic 1062 (0.00): decision, decisions, decide, process, action, involved, decided, actions, effect, responsibility
Topic 35 (0.00): god, people, story, blood, genesis, chapter, sacrifice, exodus, covenant, words
Topic 159 (0.00): day, feast, people, event, festival, procession, held, parade, ceremony, village
Topic 806 (0.00): visit, visits, visitors, visited, tour, visiting, trip, days, meet, met
Topic 2 (0.00): squadron, air, flying, war, bomber, aircraft, time, command, crew, force
Topic 458 (0.00): size, shape, length, shapes, larger, sizes, wide, width, height, weight
Topic 978 (0.00): acid, bile, acids, absorption, fatty, faecal, concentrations, intestinal, calcium, dietary
Topic 438 (0.00): moral, sexual, social, purity, prostitution, morality, sexuality, public, women, medical
Topic 1263 (0.00): failed, failure, success, attempt, attempts, efforts, successful, time, succeeded, proved
Topic 1103 (0.00): evidence, date, time, sources, account, death, period, mufti, appears, written
Topic 204 (0.00): wool, cotton, carpet, cloth, weaving, carpets, spinning, textile, woven, fabrics
Topic 1325 (0.00): communication, signals, message, information, communicate, language, communicating, signal, verbal, messages
Topic 1006 (0.00): objectives, goals, objective, achieve, goal, set, achieved, aims, aim, achieving
Topic 342 (0.00): farm, barn, farmer, field, hay, fields, straw, tractor, corn, plough
Topic 1275 (0.00): cultural, social, literacy, forms, relations, production, culture, oral, specific, writing
Topic 1292 (0.00): abbey, monks, church, abbot, saint, monastic, monastery, prior, century, life
Topic 1482 (0.00): fight, title, boxing, champion, world, heavyweight, ring, round, fights, boxer
Topic 435 (0.00): miller, plants, birds, garden, society, species, time, specimens, john, botanical
Topic 44 (0.00): children, parents, child, care, adoption, family, foster, families, social, parent
Topic 113 (0.00): feel, feeling, people, feelings, makes, time, guilty, feels, happen, person
Topic 341 (0.00): teachers, society, class, classes, training, day, office, movement, membership, contact
Topic 500 (0.00): theft, accused, property, owner, act, section, appropriation, person, deception, guilty
Topic 193 (0.00): violence, behaviour, aggression, violent, aggressive, physical, abuse, incidents, attack, threats
Topic 911 (0.00): snake, prey, species, snakes, predator, animal, predators, poison, animals, poisonous
Topic 146 (0.00): castle, walls, tower, built, wall, towers, castles, stone, town, medieval
Topic 850 (0.00): wedding, bride, married, marriage, church, ceremony, day, groom, couple, family
Topic 665 (0.00): sixties, seventies, fifties, people, eighties, time, generation, world, late, decade
Topic 1289 (0.00): amiss, bit, sir, sort, club, dear, suppose, time, chap, hope
Topic 962 (0.00): life, living, people, live, world, lives, ordinary, time, experience, everyday
Topic 1332 (0.00): insulin, diabetic, blood, diabetes, glucose, cholesterol, patients, pressure, control, subjects
Topic 446 (0.00): water, pool, pond, swimming, swim, pools, fountain, surface, fish, pump
Topic 324 (0.00): emperor, palace, court, empress, imperial, prince, throne, sheikh, gold, son
Topic 366 (0.00): hospital, operation, surgery, surgeon, bone, transplant, patient, heart, surgeons, patients
Topic 1359 (0.00): village, community, local, villages, rural, villagers, people, life, communities, farm
Topic 433 (0.00): kitchen, cooking, oven, food, microwave, cooker, grill, machine, cook, gas
Topic 174 (0.00): drivers, vehicle, driver, driving, vehicles, road, motor, car, transport, drive
Topic 191 (0.00): date, period, time, notice, months, days, limit, conditions, day, limitation
Topic 313 (0.00): record, music, records, company, band, artist, artists, companies, recording, deal
Topic 195 (0.00): opponent, punch, kick, attacker, foot, stance, attack, defender, techniques, hand
Topic 442 (0.00): physical, geography, processes, environment, human, environmental, systems, geographers, research, soil
Topic 766 (0.00): game, games, graphics, computer, adventure, total, code, play, screen, sound
Topic 54 (0.00): birth, mortality, infant, age, maternal, infants, child, children, weight, countries
Topic 452 (0.00): peace, territories, occupied, west, bank, east, middle, process, settlement, talks
Topic 944 (0.00): abuse, child, children, social, workers, sexual, abused, parents, care, protection
Topic 72 (0.00): scheme, schemes, system, introduced, local, proposed, set, provide, similar, pilot
Topic 1014 (0.00): licence, board, licensing, premises, application, section, grant, act, subs, liquor
Topic 750 (0.00): damage, people, caused, flood, damaged, affected, disaster, flooding, destroyed, floods
Topic 1087 (0.00): sir, time, van, looked, lieutenant, mind, bit, captain, moment, hope
Topic 1005 (0.00): gay, lesbian, lesbians, homosexual, homosexuality, sexual, sex, sexuality, heterosexual, aids
Topic 1466 (0.00): file, program, command, line, data, function, statement, format, files, memory
Topic 1273 (0.00): complaints, investigation, complaint, inspectors, report, inquiry, authority, commissioner, inspector, inspection
Topic 628 (0.00): philosophy, knowledge, ideas, idea, nature, mind, experience, natural, philosophical, real
Topic 1238 (0.00): hours, day, week, time, hour, days, night, period, times, shift
Topic 6 (0.00): months, period, time, month, weeks, august, twelve, days, short, eighteen
Topic 999 (0.00): infection, bacteria, bacterial, infections, organisms, strain, found, antibiotics, organism, infected
